dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
test,double_dqn,0.23408469090200645,0.13578976719238733,0.20453990298589894,0.6638791023663912,-0.13928091044084356,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,52.3878915682785,1.04255678422389,0.3008989785652807,3.464806657685962,-0.23479278275540794,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,2.1307469988391325,0.4932306465061982,0.302056654132827,1.6329077335581688,-0.203474766615794,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,0.2223703446689127,0.12330916409366921,0.17197696751227468,0.7170097593729704,-0.13350260387421464,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,44.48236582664491,0.9867545406436911,0.29897676626240505,3.300438870148322,-0.19755918166054587,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,1.031324853168135,0.30705943807594727,0.30749740549015814,0.9985757037087427,-0.38006068660459047,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
test,double_dqn,0.48513322664991776,0.24660681333896228,0.20285075643370487,1.215705662993461,-0.13335267608197876,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
train,double_dqn,152.91232898628854,1.4387489908223028,0.2991520989521749,4.809423018797919,-0.1893122326469998,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,0.734762521624758,0.23029038713335326,0.26739547954946175,0.8612351544662334,-0.26693845544531436,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
test,double_dqn,0.46933606608089273,0.22845932251604695,0.15161476049641448,1.506840902350334,-0.12537846891178883,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
train,double_dqn,44.87619854527219,0.9984446585919422,0.312830542056851,3.1916469920973825,-0.24390767880716535,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,1.6482846515004432,0.4204915616766449,0.3093262251442481,1.359378958187451,-0.29465084227167804,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
test,double_dqn,0.6011480390102388,0.28492490632232514,0.16148151725838145,1.764442836305692,-0.1539996957328461,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
train,double_dqn,30.687284985180177,0.8928854484063513,0.33800814029335674,2.641609304531593,-0.2808175608069554,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,2.593576785137068,0.5702501609512771,0.3255876769067426,1.7514488458806525,-0.2879421232690378,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
test,double_dqn,0.5785910468800457,0.2849990761008745,0.20021196218219314,1.4234867537111742,-0.1539996957328459,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
train,double_dqn,65.31284071076777,1.0992449141137945,0.26908402707905404,4.0851362529625295,-0.16856861641060972,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,1.1296965265152945,0.29863945967260874,0.22609143938972065,1.3208791119146925,-0.16779199773867948,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
test,double_dqn,0.32102424354215864,0.16079438923473366,0.12976895960856438,1.239082055676138,-0.10189143556218117,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
