dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,double_dqn,3.8015294498782115,0.35298538896034537,0.27616919385282124,1.278149036233425,-0.3207760174951888,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
validation,double_dqn,1.649718125637535,0.4800988073812782,0.41849418539757394,1.1472054430700853,-0.6816454401268646,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
test,double_dqn,0.11748269137596368,0.11001101863294194,0.31185904794933145,0.35275878431725255,-0.3161776797154512,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
train,double_dqn,0.8037151814010561,0.14314208948852158,0.2630395178920163,0.5441847317682686,-0.3285971223144045,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,1.4610744589670568,0.3904969026130276,0.31544174666016894,1.2379366610397227,-0.42637317409082076,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,-0.1812471236008394,-0.075492674255349,0.21299170753267924,-0.3544394996869359,-0.2374073913948197,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,25.180358919636827,0.773081163831705,0.2158150040123066,3.5821474385887506,-0.08846492777650095,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,0.7040771733821873,0.22499347696862326,0.27289509992515876,0.824468731869233,-0.21734892490553304,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,-0.10021982756690839,-0.02005036274418215,0.25817697005459334,-0.07766131402015586,-0.25673165967576717,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,4.713727809305742,0.38339927656829986,0.25018456455771415,1.5324657508191513,-0.3094063582905643,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,1.908511845900891,0.5241874987077861,0.42006100333345603,1.24788422288196,-0.4558094299721467,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,0.2728585563860533,0.19416428732839153,0.33454607695376304,0.5803813008251972,-0.2542404754252373,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,1.3322197096932795,0.20188211079843366,0.28620301042370083,0.7053808081877379,-0.37013363774750674,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,0.580832702719096,0.25776118676448423,0.41042912463853715,0.6280284982004949,-0.7219745751327685,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,-0.3312559940140647,-0.16194143467631805,0.22939360127473257,-0.705954454598624,-0.37835516114846457,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,1.2268043435149996,0.18969035405532853,0.2779519022716312,0.6824574773730161,-0.368406955657842,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,2.288694925269214,0.5737019074282994,0.40491694342013845,1.4168384819427797,-0.503569172030309,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,0.545427925206525,0.2972367479993516,0.28483631760756,1.0435352854437494,-0.22420838099492413,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,0.5271126975874685,0.11371842307535851,0.27045034730571005,0.42047800717672645,-0.45341068511914995,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,0.5836123287046504,0.23080472123983564,0.3548799914926817,0.6503740046572766,-0.600582340196717,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
test,double_dqn,-0.40693294128916235,-0.19900332637374396,0.29007471895521186,-0.6860416071090651,-0.4090510941210598,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
train,double_dqn,1.3225424098494267,0.19766268608366278,0.2751905828415204,0.718275618455646,-0.39165302387357326,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
