seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,validation,double_dqn,1.6370452325593159,0.407510637380716,0.2810552465982106,1.4499307246994142,-0.25714220294665124,sharpe_none
44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,test,double_dqn,0.03807180966547086,0.11532736932921583,0.42799891950325525,0.2694571506467055,-0.46158077149165355,sharpe_none
45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,train,double_dqn,18.35300658326528,0.6970713406207851,0.2441341585271899,2.8552798380450737,-0.29689419771216363,sharpe_none
45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,validation,double_dqn,0.9483012104684851,0.2630581505101641,0.2263673254684428,1.1620853405666813,-0.22798051582849754,sharpe_none
45,sharpe_none_seed45,sharpe,none,0.005,20,1e-06,test,double_dqn,0.6394624315401389,0.3850216541819351,0.39613118432223315,0.9719549215512885,-0.2342315291109709,sharpe_none
46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,train,double_dqn,3.4160160825057266,0.33177375153871447,0.2709013179162471,1.224703349879187,-0.3675132231120647,sharpe_none
46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,validation,double_dqn,1.764181383276465,0.41740043188195797,0.251594930052961,1.6590176590366694,-0.20918608365336522,sharpe_none
46,sharpe_none_seed46,sharpe,none,0.005,20,1e-06,test,double_dqn,0.20889960576309852,0.19657826854044935,0.4117734503620646,0.47739422822817207,-0.3150641238085815,sharpe_none
42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,train,double_dqn,22.766303505208377,0.758372501485894,0.2506907550550994,3.02513150642197,-0.1345139796706335,sharpe_sparse
42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,validation,double_dqn,1.4411152949010746,0.36242058094369334,0.24849022272381677,1.4584903058600576,-0.2804496072332294,sharpe_sparse
42,sharpe_sparse_seed42,sharpe,sparse,0.005,20,1e-06,test,double_dqn,1.5582252136180097,0.8078984964672773,0.4891556239444953,1.6516185379869002,-0.3179415405816677,sharpe_sparse
43,sharpe_sparse_seed43,sharpe,sparse,0.005,20,1e-06,train,double_dqn,6.713635521261824,0.4707165941684044,0.2874695736901767,1.6374484023680502,-0.3292142113121016,sharpe_sparse
43,sharpe_sparse_seed43,sharpe,sparse,0.005,20,1e-06,validation,double_dqn,1.3836052431027501,0.3637514611978814,0.2803662178952151,1.29741544444499,-0.4843125569534832,sharpe_sparse
43,sharpe_sparse_seed43,sharpe,sparse,0.005,20,1e-06,test,double_dqn,1.029382089326714,0.5978183469381115,0.47707593269163046,1.2530884623863972,-0.2994962878332815,sharpe_sparse
44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,train,double_dqn,24.39277327323551,0.7914676844424462,0.27870724763373317,2.8397814953221596,-0.17280642751335806,sharpe_sparse
44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,validation,double_dqn,1.8975359078343015,0.43977159446912606,0.2560349563217869,1.717623252648429,-0.1824555488628401,sharpe_sparse
44,sharpe_sparse_seed44,sharpe,sparse,0.005,20,1e-06,test,double_dqn,0.5784828702862856,0.3666426264113034,0.4028192272019264,0.9101914746177489,-0.3367625771663755,sharpe_sparse
45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,train,double_dqn,3.89526577951085,0.3577305661302974,0.27611964768949226,1.295563604849228,-0.4926440005315982,sharpe_sparse
45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,validation,double_dqn,0.990581737602581,0.27746487998328817,0.2463899529989239,1.126120917700325,-0.24507125845687994,sharpe_sparse
45,sharpe_sparse_seed45,sharpe,sparse,0.005,20,1e-06,test,double_dqn,0.2608074846923498,0.1915697767757838,0.3450214989101426,0.5552401151259163,-0.37247160679758806,sharpe_sparse
46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,train,double_dqn,1.403943132809831,0.20168495749337567,0.26680628301348025,0.7559228186661018,-0.36146823615311374,sharpe_sparse
46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,validation,double_dqn,1.4183876174608705,0.3611715470823167,0.2573130717893949,1.4036268914387984,-0.2886369877507613,sharpe_sparse
46,sharpe_sparse_seed46,sharpe,sparse,0.005,20,1e-06,test,double_dqn,0.22670795374406127,0.2284441540951314,0.4550816259322084,0.5019850090127826,-0.3881881819483882,sharpe_sparse
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,train,double_dqn,24.501323780330846,0.7784158284418188,0.2483092943204384,3.134863842177764,-0.15131322565554184,sharpe_decay
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,validation,double_dqn,1.074075996179995,0.285802835281584,0.21846193517936754,1.3082500392891165,-0.2426547103743829,sharpe_decay
42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,test,double_dqn,0.4660423901091231,0.318437274777277,0.41400300598061207,0.7691665765156052,-0.40364056943079474,sharpe_decay
43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,train,double_dqn,11.790835624713514,0.6059399993631946,0.2978097635632951,2.0346545798670936,-0.24032163720808886,sharpe_decay
43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,validation,double_dqn,1.199617211673489,0.31875248268231093,0.248235347930309,1.28407370400689,-0.2623591812501096,sharpe_decay
43,sharpe_decay_seed43,sharpe,decay,0.005,20,1e-06,test,double_dqn,0.3590028446132538,0.2656398625307368,0.40565810842695216,0.654836812114582,-0.29716729944060405,sharpe_decay
44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,train,double_dqn,12.749432800402918,0.6054500375156406,0.254264988681929,2.381177371899299,-0.19042166280826567,sharpe_decay
44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,validation,double_dqn,1.4994148327583114,0.37382888795865754,0.25278322674970616,1.4788516341268363,-0.2569226422930295,sharpe_decay
44,sharpe_decay_seed44,sharpe,decay,0.005,20,1e-06,test,double_dqn,0.5405564852670754,0.37729019125876695,0.4551825921831145,0.8288765821408821,-0.34939910109324235,sharpe_decay
45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,train,double_dqn,2.539072444537365,0.2884972716212728,0.28413890250629,1.015338867985127,-0.4270512563624962,sharpe_decay
45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,validation,double_dqn,0.7139512761551328,0.23285232318682492,0.2879768037927082,0.8085801360391407,-0.23811790031357194,sharpe_decay
45,sharpe_decay_seed45,sharpe,decay,0.005,20,1e-06,test,double_dqn,0.5412100552392873,0.40235952583231005,0.493269476329921,0.8156992174459904,-0.42508942639134806,sharpe_decay
46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,train,double_dqn,3.7339033270832687,0.36832854336720855,0.3208151998002639,1.148101909125646,-0.4402664910894619,sharpe_decay
46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,validation,double_dqn,1.6706595721468842,0.4219877130829668,0.3020850043343046,1.3969171161371883,-0.289798868384311,sharpe_decay
46,sharpe_decay_seed46,sharpe,decay,0.005,20,1e-06,test,double_dqn,0.40825465260711913,0.29873183706444584,0.42330421856599026,0.7057142923745173,-0.3355242985977053,sharpe_decay
